RAPORT Z EGZAMINU WSTEPNEGO
========================================================================================
| POZ  |  ID  | MATURA | TEORIA | PRAKT. | SUMA(T+P) | STATUS                      |
| #805 | 1119 | TAK |   37%  |   52%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #806 | 1170 | TAK |   42%  |   47%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #807 | 1173 | TAK |   51%  |   38%  |   89 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #808 | 0296 | TAK |   39%  |   49%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #809 | 0347 | TAK |   47%  |   41%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #810 | 0409 | TAK |   41%  |   47%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #811 | 0486 | TAK |   45%  |   43%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #812 | 0665 | TAK |   38%  |   50%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #813 | 0750 | TAK |   39%  |   49%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #814 | 0847 | TAK |   31%  |   57%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #815 | 0877 | TAK |   38%  |   50%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #816 | 0937 | TAK |   38%  |   50%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #817 | 0955 | TAK |   44%  |   44%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #818 | 0984 | TAK |   53%  |   35%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #819 | 1000 | TAK |   46%  |   42%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #820 | 1089 | TAK |   43%  |   45%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #821 | 1192 | TAK |   37%  |   51%  |   88 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #822 | 0010 | TAK |   56%  |   31%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #823 | 0023 | TAK |   54%  |   33%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #824 | 0125 | TAK |   68%  |   19%  |   87 | OBLANY (Praktyka) |
| #825 | 0163 | TAK |   65%  |   22%  |   87 | OBLANY (Praktyka) |
| #826 | 0166 | TAK |   36%  |   51%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #827 | 0214 | TAK |   72%  |   15%  |   87 | OBLANY (Praktyka) |
| #828 | 0275 | TAK |   39%  |   48%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #829 | 0440 | TAK |   36%  |   51%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #830 | 0699 | TAK |   55%  |   32%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #831 | 0856 | TAK |   35%  |   52%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #832 | 0890 | TAK |   37%  |   50%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #833 | 1007 | TAK |   40%  |   47%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #834 | 1068 | TAK |   44%  |   43%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #835 | 1082 | TAK |   44%  |   43%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #836 | 1102 | TAK |   55%  |   32%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #837 | 1125 | TAK |   51%  |   36%  |   87 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #838 | 0009 | TAK |   49%  |   37%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #839 | 0067 | TAK |   38%  |   48%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #840 | 0107 | TAK |   41%  |   45%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #841 | 0108 | TAK |   64%  |   22%  |   86 | OBLANY (Praktyka) |
| #842 | 0179 | TAK |   58%  |   28%  |   86 | OBLANY (Praktyka) |
| #843 | 0340 | TAK |   47%  |   39%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #844 | 0396 | TAK |   45%  |   41%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #845 | 0407 | TAK |   52%  |   34%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #846 | 0475 | TAK |   45%  |   41%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #847 | 0559 | TAK |   60%  |   26%  |   86 | OBLANY (Praktyka) |
| #848 | 0612 | TAK |   59%  |   27%  |   86 | OBLANY (Praktyka) |
| #849 | 0622 | TAK |   37%  |   49%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #850 | 0911 | TAK |   35%  |   51%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #851 | 0931 | TAK |   39%  |   47%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #852 | 0989 | TAK |   31%  |   55%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #853 | 1024 | TAK |   35%  |   51%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #854 | 1075 | TAK |   64%  |   22%  |   86 | OBLANY (Praktyka) |
| #855 | 1078 | TAK |   73%  |   13%  |   86 | OBLANY (Praktyka) |
| #856 | 1094 | TAK |   46%  |   40%  |   86 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #857 | 0004 | TAK |   54%  |   31%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #858 | 0071 | TAK |   37%  |   48%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #859 | 0132 | TAK |   52%  |   33%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #860 | 0133 | TAK |   49%  |   36%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #861 | 0262 | TAK |   51%  |   34%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #862 | 0279 | TAK |   39%  |   46%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #863 | 0374 | TAK |   38%  |   47%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #864 | 0392 | TAK |   40%  |   45%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #865 | 0420 | TAK |   53%  |   32%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #866 | 0487 | TAK |   59%  |   26%  |   85 | OBLANY (Praktyka) |
| #867 | 0501 | TAK |   59%  |   26%  |   85 | OBLANY (Praktyka) |
| #868 | 0805 | TAK |   31%  |   54%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #869 | 0929 | TAK |   46%  |   39%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #870 | 0982 | TAK |   39%  |   46%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #871 | 1121 | TAK |   34%  |   51%  |   85 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #872 | 1200 | TAK |   58%  |   27%  |   85 | OBLANY (Praktyka) |
| #873 | 0113 | TAK |   51%  |   33%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #874 | 0158 | TAK |   38%  |   46%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #875 | 0358 | TAK |   47%  |   37%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #876 | 0403 | TAK |   35%  |   49%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #877 | 0605 | TAK |   54%  |   30%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #878 | 0628 | TAK |   50%  |   34%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #879 | 0637 | TAK |   35%  |   49%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #880 | 0808 | TAK |   46%  |   38%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #881 | 1047 | TAK |   42%  |   42%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #882 | 1048 | TAK |   48%  |   36%  |   84 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #883 | 0077 | TAK |   42%  |   41%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #884 | 0080 | TAK |   44%  |   39%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #885 | 0228 | TAK |   41%  |   42%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #886 | 0325 | TAK |   32%  |   51%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #887 | 0372 | TAK |   36%  |   47%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #888 | 0399 | TAK |   71%  |   12%  |   83 | OBLANY (Praktyka) |
| #889 | 0461 | TAK |   39%  |   44%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #890 | 0467 | TAK |   33%  |   50%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #891 | 0476 | TAK |   40%  |   43%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #892 | 0517 | TAK |   45%  |   38%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #893 | 0519 | TAK |   35%  |   48%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #894 | 0580 | TAK |   44%  |   39%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #895 | 0789 | TAK |   52%  |   31%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #896 | 1055 | TAK |   52%  |   31%  |   83 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #897 | 0073 | TAK |   51%  |   31%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #898 | 0135 | TAK |   50%  |   32%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #899 | 0211 | TAK |   48%  |   34%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #900 | 0218 | TAK |   52%  |   30%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #901 | 0291 | TAK |   38%  |   44%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #902 | 0551 | TAK |   41%  |   41%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #903 | 0787 | TAK |   44%  |   38%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #904 | 0812 | TAK |   51%  |   31%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #905 | 0913 | TAK |   41%  |   41%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #906 | 0926 | TAK |   44%  |   38%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #907 | 0992 | TAK |   51%  |   31%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #908 | 1037 | TAK |   58%  |   24%  |   82 | OBLANY (Praktyka) |
| #909 | 1050 | TAK |   38%  |   44%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #910 | 1123 | TAK |   42%  |   40%  |   82 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #911 | 0040 | TAK |   34%  |   47%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #912 | 0066 | TAK |   56%  |   25%  |   81 | OBLANY (Praktyka) |
| #913 | 0144 | TAK |   37%  |   44%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #914 | 0277 | TAK |   44%  |   37%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #915 | 0313 | TAK |   33%  |   48%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #916 | 0415 | TAK |   41%  |   40%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #917 | 0497 | TAK |   44%  |   37%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #918 | 0503 | TAK |   43%  |   38%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #919 | 0590 | TAK |   50%  |   31%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #920 | 0736 | TAK |   33%  |   48%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #921 | 0786 | TAK |   41%  |   40%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #922 | 0802 | TAK |   48%  |   33%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #923 | 0873 | TAK |   50%  |   31%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #924 | 0962 | TAK |   32%  |   49%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #925 | 1004 | TAK |   65%  |   16%  |   81 | OBLANY (Praktyka) |
| #926 | 1120 | TAK |   43%  |   38%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #927 | 1146 | TAK |   31%  |   50%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #928 | 1164 | TAK |   33%  |   48%  |   81 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #929 | 0062 | TAK |   58%  |   22%  |   80 | OBLANY (Praktyka) |
| #930 | 0162 | TAK |   56%  |   24%  |   80 | OBLANY (Praktyka) |
| #931 | 0705 | TAK |   59%  |   21%  |   80 | OBLANY (Praktyka) |
| #932 | 0748 | TAK |   40%  |   40%  |   80 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #933 | 0794 | TAK |   49%  |   31%  |   80 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #934 | 0898 | TAK |   56%  |   24%  |   80 | OBLANY (Praktyka) |
| #935 | 0940 | TAK |   53%  |   27%  |   80 | OBLANY (Praktyka) |
| #936 | 0974 | TAK |   33%  |   47%  |   80 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #937 | 1043 | TAK |   59%  |   21%  |   80 | OBLANY (Praktyka) |
| #938 | 1073 | TAK |   54%  |   26%  |   80 | OBLANY (Praktyka) |
| #939 | 0022 | TAK |   42%  |   37%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #940 | 0033 | TAK |   30%  |   49%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #941 | 0034 | TAK |   60%  |   19%  |   79 | OBLANY (Praktyka) |
| #942 | 0045 | TAK |   69%  |   10%  |   79 | OBLANY (Praktyka) |
| #943 | 0090 | TAK |   49%  |   30%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #944 | 0112 | TAK |   52%  |   27%  |   79 | OBLANY (Praktyka) |
| #945 | 0145 | TAK |   40%  |   39%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #946 | 0164 | TAK |   53%  |   26%  |   79 | OBLANY (Praktyka) |
| #947 | 0269 | TAK |   52%  |   27%  |   79 | OBLANY (Praktyka) |
| #948 | 0306 | TAK |   40%  |   39%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #949 | 0323 | TAK |   57%  |   22%  |   79 | OBLANY (Praktyka) |
| #950 | 0377 | TAK |   48%  |   31%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #951 | 0430 | TAK |   30%  |   49%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #952 | 0443 | TAK |   44%  |   35%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #953 | 0469 | TAK |   51%  |   28%  |   79 | OBLANY (Praktyka) |
| #954 | 0566 | TAK |   57%  |   22%  |   79 | OBLANY (Praktyka) |
| #955 | 0602 | TAK |   33%  |   46%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #956 | 0726 | TAK |   57%  |   22%  |   79 | OBLANY (Praktyka) |
| #957 | 0834 | TAK |   39%  |   40%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #958 | 0840 | TAK |   47%  |   32%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #959 | 0870 | TAK |   59%  |   20%  |   79 | OBLANY (Praktyka) |
| #960 | 0964 | TAK |   50%  |   29%  |   79 | OBLANY (Praktyka) |
| #961 | 0987 | TAK |   35%  |   44%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #962 | 1093 | TAK |   47%  |   32%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #963 | 1175 | TAK |   31%  |   48%  |   79 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #964 | 1180 | TAK |   53%  |   26%  |   79 | OBLANY (Praktyka) |
| #965 | 0060 | TAK |   34%  |   44%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #966 | 0140 | TAK |   59%  |   19%  |   78 | OBLANY (Praktyka) |
| #967 | 0320 | TAK |   42%  |   36%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #968 | 0464 | TAK |   50%  |   28%  |   78 | OBLANY (Praktyka) |
| #969 | 0496 | TAK |   36%  |   42%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #970 | 0560 | TAK |   35%  |   43%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #971 | 0595 | TAK |   34%  |   44%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #972 | 0631 | TAK |   51%  |   27%  |   78 | OBLANY (Praktyka) |
| #973 | 0660 | TAK |   38%  |   40%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #974 | 0719 | TAK |   50%  |   28%  |   78 | OBLANY (Praktyka) |
| #975 | 1001 | TAK |   39%  |   39%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #976 | 1116 | TAK |   43%  |   35%  |   78 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #977 | 0044 | TAK |   49%  |   28%  |   77 | OBLANY (Praktyka) |
| #978 | 0126 | TAK |   34%  |   43%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #979 | 0737 | TAK |   32%  |   45%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #980 | 0749 | TAK |   38%  |   39%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #981 | 0801 | TAK |   42%  |   35%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #982 | 0884 | TAK |   53%  |   24%  |   77 | OBLANY (Praktyka) |
| #983 | 0902 | TAK |   38%  |   39%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #984 | 0990 | TAK |   58%  |   19%  |   77 | OBLANY (Praktyka) |
| #985 | 0997 | TAK |   42%  |   35%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #986 | 1054 | TAK |   45%  |   32%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #987 | 1131 | TAK |   30%  |   47%  |   77 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #988 | 1178 | TAK |   56%  |   21%  |   77 | OBLANY (Praktyka) |
| #989 | 0114 | TAK |   36%  |   40%  |   76 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #990 | 0201 | TAK |   42%  |   34%  |   76 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #991 | 0213 | TAK |   36%  |   40%  |   76 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #992 | 0365 | TAK |   47%  |   29%  |   76 | OBLANY (Praktyka) |
| #993 | 0445 | TAK |   41%  |   35%  |   76 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #994 | 0912 | TAK |   47%  |   29%  |   76 | OBLANY (Praktyka) |
| #995 | 0977 | TAK |   39%  |   37%  |   76 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #996 | 0239 | TAK |   36%  |   39%  |   75 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #997 | 0552 | TAK |   49%  |   26%  |   75 | OBLANY (Praktyka) |
| #998 | 0735 | TAK |   37%  |   38%  |   75 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #999 | 0880 | TAK |   39%  |   36%  |   75 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1000 | 0947 | TAK |   30%  |   45%  |   75 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1001 | 1058 | TAK |   43%  |   32%  |   75 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1002 | 0155 | TAK |   53%  |   21%  |   74 | OBLANY (Praktyka) |
| #1003 | 0234 | TAK |   63%  |   11%  |   74 | OBLANY (Praktyka) |
| #1004 | 0259 | TAK |   41%  |   33%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1005 | 0310 | TAK |   31%  |   43%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1006 | 0324 | TAK |   47%  |   27%  |   74 | OBLANY (Praktyka) |
| #1007 | 0363 | TAK |   38%  |   36%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1008 | 0489 | TAK |   49%  |   25%  |   74 | OBLANY (Praktyka) |
| #1009 | 0550 | TAK |   39%  |   35%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1010 | 0831 | TAK |   41%  |   33%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1011 | 0910 | TAK |   54%  |   20%  |   74 | OBLANY (Praktyka) |
| #1012 | 0933 | TAK |   30%  |   44%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1013 | 0991 | TAK |   48%  |   26%  |   74 | OBLANY (Praktyka) |
| #1014 | 1052 | TAK |   40%  |   34%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1015 | 1071 | TAK |   30%  |   44%  |   74 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1016 | 0087 | TAK |   49%  |   24%  |   73 | OBLANY (Praktyka) |
| #1017 | 0215 | TAK |   32%  |   41%  |   73 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1018 | 0270 | TAK |   44%  |   29%  |   73 | OBLANY (Praktyka) |
| #1019 | 0271 | TAK |   35%  |   38%  |   73 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1020 | 0297 | TAK |   47%  |   26%  |   73 | OBLANY (Praktyka) |
| #1021 | 0619 | TAK |   56%  |   17%  |   73 | OBLANY (Praktyka) |
| #1022 | 0656 | TAK |   41%  |   32%  |   73 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1023 | 0759 | TAK |   44%  |   29%  |   73 | OBLANY (Praktyka) |
| #1024 | 0999 | TAK |   59%  |   14%  |   73 | OBLANY (Praktyka) |
| #1025 | 1056 | TAK |   31%  |   42%  |   73 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1026 | 1167 | TAK |   38%  |   35%  |   73 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1027 | 1184 | TAK |   49%  |   24%  |   73 | OBLANY (Praktyka) |
| #1028 | 0136 | TAK |   36%  |   36%  |   72 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1029 | 0254 | TAK |   54%  |   18%  |   72 | OBLANY (Praktyka) |
| #1030 | 0322 | TAK |   39%  |   33%  |   72 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1031 | 0592 | TAK |   54%  |   18%  |   72 | OBLANY (Praktyka) |
| #1032 | 0629 | TAK |   50%  |   22%  |   72 | OBLANY (Praktyka) |
| #1033 | 0896 | TAK |   51%  |   21%  |   72 | OBLANY (Praktyka) |
| #1034 | 0958 | TAK |   47%  |   25%  |   72 | OBLANY (Praktyka) |
| #1035 | 0047 | TAK |   50%  |   21%  |   71 | OBLANY (Praktyka) |
| #1036 | 0105 | TAK |   40%  |   31%  |   71 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1037 | 0209 | TAK |   42%  |   29%  |   71 | OBLANY (Praktyka) |
| #1038 | 0302 | TAK |   36%  |   35%  |   71 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1039 | 0471 | TAK |   40%  |   31%  |   71 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1040 | 0521 | TAK |   41%  |   30%  |   71 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1041 | 0626 | TAK |   35%  |   36%  |   71 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1042 | 1185 | TAK |   34%  |   37%  |   71 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1043 | 0065 | TAK |   38%  |   32%  |   70 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1044 | 0606 | TAK |   49%  |   21%  |   70 | OBLANY (Praktyka) |
| #1045 | 0979 | TAK |   32%  |   38%  |   70 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1046 | 1137 | TAK |   60%  |   10%  |   70 | OBLANY (Praktyka) |
| #1047 | 0007 | TAK |   45%  |   24%  |   69 | OBLANY (Praktyka) |
| #1048 | 0192 | TAK |   33%  |   36%  |   69 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1049 | 0530 | TAK |   34%  |   35%  |   69 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1050 | 0942 | TAK |   36%  |   33%  |   69 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1051 | 0993 | TAK |   34%  |   35%  |   69 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1052 | 1174 | TAK |   44%  |   25%  |   69 | OBLANY (Praktyka) |
| #1053 | 0707 | TAK |   33%  |   35%  |   68 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1054 | 0819 | TAK |   31%  |   37%  |   68 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1055 | 1049 | TAK |   47%  |   21%  |   68 | OBLANY (Praktyka) |
| #1056 | 0024 | TAK |   34%  |   33%  |   67 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1057 | 0130 | TAK |   36%  |   31%  |   67 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1058 | 0328 | TAK |   46%  |   21%  |   67 | OBLANY (Praktyka) |
| #1059 | 0820 | TAK |   32%  |   35%  |   67 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1060 | 1046 | TAK |   55%  |   12%  |   67 | OBLANY (Praktyka) |
| #1061 | 1090 | TAK |   38%  |   29%  |   67 | OBLANY (Praktyka) |
| #1062 | 0061 | TAK |   51%  |   15%  |   66 | OBLANY (Praktyka) |
| #1063 | 0378 | TAK |   60%  |    6%  |   66 | OBLANY (Praktyka) |
| #1064 | 0498 | TAK |   52%  |   14%  |   66 | OBLANY (Praktyka) |
| #1065 | 1139 | TAK |   40%  |   26%  |   66 | OBLANY (Praktyka) |
| #1066 | 1171 | TAK |   30%  |   36%  |   66 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1067 | 0117 | TAK |   57%  |    8%  |   65 | OBLANY (Praktyka) |
| #1068 | 0241 | TAK |   31%  |   34%  |   65 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1069 | 0479 | TAK |   45%  |   20%  |   65 | OBLANY (Praktyka) |
| #1070 | 0666 | TAK |   50%  |   15%  |   65 | OBLANY (Praktyka) |
| #1071 | 0956 | TAK |   38%  |   27%  |   65 | OBLANY (Praktyka) |
| #1072 | 0272 | TAK |   38%  |   26%  |   64 | OBLANY (Praktyka) |
| #1073 | 0674 | TAK |   31%  |   33%  |   64 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1074 | 0689 | TAK |   49%  |   15%  |   64 | OBLANY (Praktyka) |
| #1075 | 0732 | TAK |   33%  |   31%  |   64 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1076 | 0894 | TAK |   41%  |   23%  |   64 | OBLANY (Praktyka) |
| #1077 | 0900 | TAK |   36%  |   28%  |   64 | OBLANY (Praktyka) |
| #1078 | 0949 | TAK |   34%  |   30%  |   64 | NIEPRZYJĘTY (BRAK MIEJSC) |
| #1079 | 0988 | TAK |   45%  |   19%  |   64 | OBLANY (Praktyka) |
